person_id,vorname,nachname,geburtsjahr,geschlecht,staatsbuergerschaft,sprengel,katastralgemeinde,haushaltsnummer
hzbg-00001,Alois,Wagner,2023,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00001
hzbg-00002,Jonas,Moser,1994,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00002
hzbg-00003,Petra,Moser,1985,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00002
hzbg-00004,Florian,Huber,1973,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00003
hzbg-00005,Christina,Huber,1976,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00003
hzbg-00006,Rudolf,Huber,2016,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00003
hzbg-00007,Jonas,Binder,1989,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00004
hzbg-00008,Moritz,Brunner,1974,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00005
hzbg-00009,Aloisia,Brunner,1969,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00005
hzbg-00010,Gabriel,Mayr,1968,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00006
hzbg-00011,Ida,Mayr,1968,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00006
hzbg-00012,Ursula,Eder,1936,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00007
hzbg-00013,Noah,Haider,1974,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00008
hzbg-00014,Aloisia,Haider,1980,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00008
hzbg-00015,Johann,Haider,2015,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00008
hzbg-00016,Felix,Riegler,1995,maennlich,DE,Ederding-Wielandsthal,Adletzberg,hzbg-h00009
hzbg-00017,Karin,Riegler,1985,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00009
hzbg-00018,Sofia,Mayr,2019,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00010
hzbg-00019,Helmut,Schneider,2025,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00011
hzbg-00020,Oskar,Schmidt,1974,maennlich,DE,Ederding-Wielandsthal,Adletzberg,hzbg-h00012
hzbg-00021,Christian,Lehner,2010,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00013
hzbg-00022,Jakob,Weber,1974,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00014
hzbg-00023,Klara,Weber,1973,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00014
hzbg-00024,Magdalena,Weber,2023,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00014
hzbg-00025,Gabriele,Weber,2012,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00014
hzbg-00026,Rudolf,Weiss,1986,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00015
hzbg-00027,Notburga,Weiss,2024,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00015
hzbg-00028,Niklas,Weiss,2021,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00015
hzbg-00029,Simon,Weiss,2009,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00015
hzbg-00030,Leopoldine,Schmidt,1985,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00016
hzbg-00031,David,Fuchs,1931,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00017
hzbg-00032,Christian,Mair,1997,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00018
hzbg-00033,Lukas,Mair,2015,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00018
hzbg-00034,Simon,Mair,2022,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00018
hzbg-00035,Klara,Mair,2020,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00018
hzbg-00036,Valentin,Aigner,1973,maennlich,DE,Ederding-Wielandsthal,Adletzberg,hzbg-h00019
hzbg-00037,Theresa,Aigner,2013,weiblich,DE,Ederding-Wielandsthal,Adletzberg,hzbg-h00019
hzbg-00038,Josef,Aigner,2010,maennlich,DE,Ederding-Wielandsthal,Adletzberg,hzbg-h00019
hzbg-00039,Monika,Aigner,2012,weiblich,DE,Ederding-Wielandsthal,Adletzberg,hzbg-h00019
hzbg-00040,Rudolf,Fischer,1972,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00020
hzbg-00041,Sophie,Fischer,2021,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00020
hzbg-00042,Paula,Fischer,2017,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00020
hzbg-00043,Gabriel,Fischer,2012,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00020
hzbg-00044,Anna,Müller,1977,weiblich,DE,Ederding-Wielandsthal,Adletzberg,hzbg-h00021
hzbg-00045,Rudolf,Strasser,1999,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00022
hzbg-00046,Petra,Strasser,1999,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00022
hzbg-00047,Antonia,Strasser,2024,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00022
hzbg-00048,Miloš,Ibrahimović,1974,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00023
hzbg-00049,Csaba,Takács,1966,maennlich,CZ,Ederding-Wielandsthal,Adletzberg,hzbg-h00024
hzbg-00050,Gabriela,Takács,1969,weiblich,PL,Ederding-Wielandsthal,Adletzberg,hzbg-h00024
hzbg-00051,Felix,Schneider,1984,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00025
hzbg-00052,Rosa,Schneider,1983,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00025
hzbg-00053,Alois,Steiner,1994,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00026
hzbg-00054,Paula,Steiner,2004,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00026
hzbg-00055,Valentin,Bauer,1978,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00027
hzbg-00056,Paul,Bauer,2015,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00027
hzbg-00057,Franz,Bauer,2017,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00027
hzbg-00058,Julian,Mayer,2001,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00028
hzbg-00059,Maria,Mayer,1991,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00028
hzbg-00060,Susanne,Holzer,1956,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00029
hzbg-00061,Felix,Auer,1998,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00030
hzbg-00062,Katharina,Auer,1991,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00030
hzbg-00063,Amelie,Auer,2024,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00030
hzbg-00064,Simon,Schneider,1973,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00031
hzbg-00065,Susanne,Schneider,1978,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00031
hzbg-00066,Maria,Schneider,2020,weiblich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00031
hzbg-00067,Tobias,Schneider,2025,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00031
hzbg-00068,Gerhard,Winter,1992,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00032
hzbg-00069,Elias,Winter,2021,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00032
hzbg-00070,Noah,Winter,2010,maennlich,AT,Ederding-Wielandsthal,Adletzberg,hzbg-h00032
