person_id,vorname,nachname,geburtsjahr,geschlecht,staatsbuergerschaft,sprengel,katastralgemeinde,haushaltsnummer
ks3k-00001,Alois,Wagner,2023,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00001
ks3k-00002,Jonas,Moser,1994,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00002
ks3k-00003,Petra,Moser,1985,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00002
ks3k-00004,Florian,Huber,1973,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00003
ks3k-00005,Christina,Huber,1976,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00003
ks3k-00006,Rudolf,Huber,2016,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00003
ks3k-00007,Jonas,Binder,1989,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00004
ks3k-00008,Moritz,Brunner,1974,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00005
ks3k-00009,Aloisia,Brunner,1969,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00005
ks3k-00010,Gabriel,Mayr,1968,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00006
ks3k-00011,Ida,Mayr,1968,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00006
ks3k-00012,Ursula,Eder,1936,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00007
ks3k-00013,Noah,Haider,1974,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00008
ks3k-00014,Aloisia,Haider,1980,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00008
ks3k-00015,Johann,Haider,2015,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00008
ks3k-00016,Felix,Riegler,1995,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00009
ks3k-00017,Karin,Riegler,1985,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00009
ks3k-00018,Sofia,Mayr,2019,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00010
ks3k-00019,Helmut,Schneider,2025,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00011
ks3k-00020,Oskar,Schmidt,1974,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00012
ks3k-00021,Christian,Lehner,2010,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00013
ks3k-00022,Jakob,Weber,1974,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00014
ks3k-00023,Klara,Weber,1973,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00014
ks3k-00024,Magdalena,Weber,2023,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00014
ks3k-00025,Gabriele,Weber,2012,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00014
ks3k-00026,Rudolf,Weiss,1986,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00015
ks3k-00027,Notburga,Weiss,2024,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00015
ks3k-00028,Niklas,Weiss,2021,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00015
ks3k-00029,Simon,Weiss,2009,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00015
ks3k-00030,Leopoldine,Schmidt,1985,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00016
ks3k-00031,David,Fuchs,1931,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00017
ks3k-00032,Christian,Mair,1997,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00018
ks3k-00033,Lukas,Mair,2015,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00018
ks3k-00034,Simon,Mair,2022,maennlich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00018
ks3k-00035,Klara,Mair,2020,weiblich,AT,Nordbezirk-1,Nordbezirk,ks3k-h00018
ks3k-00036,Valentin,Aigner,1973,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00019
ks3k-00037,Theresa,Aigner,2013,weiblich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00019
ks3k-00038,Josef,Aigner,2010,maennlich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00019
ks3k-00039,Monika,Aigner,2012,weiblich,DE,Nordbezirk-1,Nordbezirk,ks3k-h00019
